symbol,log2FC,p,padj
A1CF,-0.00929732277777795,0.9103653527050908,0.9818701663394701
A2M,-0.23569007761904892,0.10098776853531236,0.6102693220888279
A2ML1,0.04427953261904749,0.5825502071897979,0.913883026809401
A4GALT,-0.0735898073888892,0.5463512513370404,0.8993659171473031
A4GNT,0.12217015455555558,0.10858546587275822,0.6189952225687714
AAAS,-0.006826223063492343,0.9461997955836233,0.9883319234074682
AACS,0.2500103149841255,0.06728102730632632,0.5479332235875888
AADAC,-0.18544097488095268,0.1713659058212759,0.6930257949605465
AADACL2,0.06130971881746072,0.4844718605870816,0.8781937175118626
AADACL3,-0.11914741041269838,0.2857801552841678,0.776257040309548
AADACL4,0.0050315110793648365,0.9514991363266734,0.989322523314495
AADAT,-0.3774415623412697,0.022770860356676574,0.4009787090874452
AAED1,-0.17195058628571402,0.3047737552897625,0.7862549534631066
AAGAB,0.07595281081746119,0.46137584507999574,0.8684230569976458
AAK1,0.13838893787301654,0.2580109058738103,0.7575301901035809
AAMP,-0.07281582758730121,0.44223524109253076,0.8599882892805021
AANAT,0.01649276902380903,0.8478547555602028,0.9704142302846037
AAR2,-0.10824830203174507,0.10437657424787562,0.6159216522103148
AARD,-0.04422352408730168,0.5760199884732262,0.9108212074741763
AARS,0.07359021089682294,0.40419958097184516,0.8413638032403803
AARS2,0.018995911928571196,0.8262587468266919,0.9681598507894975
AASDH,-0.06442285765872935,0.582056969218372,0.9136689054654376
AASS,-0.47793699907142795,0.051393594757284666,0.5090197832362598
AATBC,0.002003119690475952,0.9824252044945097,0.9955491115140741
AATF,-0.1606619048492064,0.08159891399788637,0.5764638173542872
AATK,-0.006728422603174522,0.9552335225027853,0.9904167340657425
AATK-AS1,0.0061532395793655326,0.942875322196506,0.9875271431112899
ABAT,-0.2579942570873044,0.011798260929810168,0.32025055984800654
ABCA1,-0.17290696531746086,0.12645572072078576,0.6394197922143965
ABCA10,-0.1587046209127001,0.6803908064206657,0.9339938988585815
ABCA11P,-0.047905359999999675,0.7343032635811375,0.9459132603424195
ABCA12,-0.04023173609523756,0.5484044761834491,0.9001594984846096
ABCA13,-0.30185515539682584,0.015734156363624317,0.35475599821404646
ABCA2,0.46574578673809786,0.0014587763470787702,0.16548149126245504
ABCA3,0.09762971009523724,0.2775553324403175,0.7699476960921638
ABCA4,0.094392142936508,0.23886816258871824,0.7432076235897106
ABCA5,0.1491563561349185,0.22644102574347594,0.7365240248552198
ABCA6,-0.310321517738096,0.016153570241536543,0.356643832286468
ABCA7,0.26925017343650737,0.0023570613494852065,0.19360584748033272
ABCA8,-0.1332832730714273,0.3643589048475946,0.8200605910415802
ABCA9,-0.12032980602380938,0.6156861202585957,0.9224901934811368
ABCB1,0.21779903067460538,0.19998277747385323,0.7166778248376667
ABCB10,0.08726123791269824,0.32330332710911935,0.7974823760096805
ABCB11,-0.6306373382698407,0.00010998409692659404,0.05429421204938024
ABCB4,0.1690998742063492,0.35582603111582833,0.8146657654703762
ABCB5,-0.03825624465872979,0.5840596797690092,0.9143256109167964
ABCB6,-0.10485193380952484,0.3166121256224938,0.7932816822747084
ABCB7,-0.14176453380952392,0.0755859606190287,0.5682252207238235
ABCB8,-0.012176705095238383,0.9012382002620101,0.9804317600229214
ABCB9,0.01783338969047632,0.8386687191490769,0.9689268266618404
ABCC1,0.28405599520634794,0.06384131287650151,0.541356514429638
ABCC10,0.1487940133095247,0.10648986009989814,0.6169373411841048
ABCC11///LONP2,-0.11920672180158842,0.3456085085687698,0.8095479423583397
ABCC12,-0.015051797357142682,0.8377024049591709,0.9687598659489431
ABCC13,0.0440468869841264,0.5269346371181323,0.8923583840594683
ABCC2,0.035620167785713974,0.7413794408330525,0.9489985254730385
ABCC3,0.2289583132698425,0.06553268676883367,0.5448682421247771
ABCC4,0.37935901687301765,0.07928237300976802,0.5742370714078068
ABCC5,0.296841279714287,0.030357087888824283,0.4375974661232075
ABCC6,0.3552724787539674,0.036889994364958024,0.46230746710667336
ABCC6P2///ABCC6P1///ABCC6,0.29661005748412705,0.06610961392174328,0.5455243599762122
ABCC8,-0.02345002693650855,0.7951958540973598,0.961902129959875
ABCC9,-0.004386374920633429,0.9717191799939138,0.993363999696166
ABCD1,0.17744783689682375,0.10847916207427993,0.6189952225687714
ABCD2,-0.03128438874603123,0.8033593783041492,0.9635984957312009
ABCD3,-0.04178279081746261,0.7065353955773888,0.9383739670167368
ABCD4,0.06283812273015776,0.5316173570910097,0.8937808541978343
ABCE1,-0.3192664525634923,0.041987572150942454,0.47591086596692705
ABCF1,-0.010944372317460704,0.8765668452494884,0.9766542802393245
ABCF2,0.027406510571428733,0.835522191873455,0.9687255409127573
