symbol,log2FC,p,padj
A1BG,-0.12468617269841253,0.3822603595360221,0.8283536081971196
A1BG-AS1,-0.07848477085714389,0.3849721383063007,0.8294957056592064
A1CF,0.03923628557143033,0.854231877790169,0.9715854414745566
A2M,-0.01413051698412815,0.9411657852857378,0.9894313067891155
A2M-AS1,0.20718814279365105,0.4268784032164461,0.8482898879607489
A2ML1,0.012717909444444064,0.8826450804362564,0.9786871201779974
A2MP1,-0.08424925368253966,0.4077284834933116,0.8398707129811632
A4GALT,-0.09979618471428608,0.352651159230742,0.8144577494931436
A4GNT,0.08722388512698398,0.24228565966553745,0.7582788607721891
AA06,-0.08856721917460231,0.30710197294999897,0.7925946924004794
AAAS,-0.16836256166666796,0.0620815125783514,0.6258090285229652
AACS,0.01375017236508036,0.9267193943398544,0.9883726811654866
AACSP1,-0.05888921271428549,0.48086819648105716,0.8668125247354957
AADAC,0.2999462355555522,0.06634340050926388,0.6328397465851268
AADACL2,-0.022008833539682637,0.7576406957650812,0.954171914026872
AADACP1,-0.28734309714285544,0.5177674614192549,0.8838478104883557
AADAT,0.11597468150793588,0.5983771031725553,0.909639438816483
AAED1,0.6557360219523813,0.008536537676063468,0.5059831934705878
AAGAB,-0.21601427633333348,0.03944240381432693,0.5907415229189683
AAK1,-0.1625516739523798,0.2900572762309649,0.7858462640157362
AAMDC,0.008289347730157992,0.9463028976715334,0.9894943902283135
AAMP,-0.022858786063491898,0.8862261552330047,0.9789163758694317
AANAT,-0.05347149830158715,0.509673585660033,0.8791314670561623
AAR2,-0.04530945385714347,0.6588825823625208,0.9282276063871998
AARS,-0.4266005649999993,0.015860979967674466,0.530808182913452
AARS2,-0.3290811081587304,0.06231122918056625,0.6258090285229652
AASDH,-0.04141643330158651,0.7405090682987032,0.9486966138343097
AASDHPPT,0.20831229128571493,0.30932291018264785,0.7935675863155016
AASS,0.3072137312063479,0.4980621595020084,0.8746736254206621
AATBC,-0.09955779536507992,0.3299079120305368,0.8030195985131178
AATF,-0.1502099285238092,0.1983628300211439,0.7419720492778404
AATK,-0.01730164749206331,0.8525835673900183,0.9714978060297395
ABAT,-0.2301029382857145,0.22972715388618434,0.752135570446174
ABCA1,0.8286549176507929,0.018732377020338854,0.5398472893829966
ABCA11P,-0.019926500825395266,0.8092002558470076,0.9645851157859376
ABCA12,-0.06514791869841297,0.2969952024906407,0.7877962901126174
ABCA13,-0.017826978809523997,0.8068789757047221,0.9642517777265991
ABCA17P,0.054622710285714415,0.5585177770626815,0.8984890707018529
ABCA2,0.022918862730159084,0.8325846833151057,0.9687121443862023
ABCA3,-0.09778714652380849,0.36415193206700125,0.819074224088666
ABCA4,-0.02413516612698441,0.7682642848831424,0.9569448870142611
ABCA5,0.22210418120635023,0.3857792457692685,0.8302771413989797
ABCA6,-0.34444600249206303,0.008430921504964918,0.5059831934705878
ABCA7,-0.05390271760317411,0.6001064122444328,0.9103357901091322
ABCA8,-0.1660117209047609,0.3264701785735119,0.8014839903764919
ABCA9,-0.1374503031428551,0.5467389033599103,0.8948474611704157
ABCB1,0.17130731065079452,0.46697533611818964,0.8620473118945348
ABCB10,0.41226590371428706,0.031807303879184984,0.5817512046285952
