herb,name,status,smiles,mw_pubchem,cid
Artemisia capillaris(茵陈),scoparone,OK,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,206.19,8417.0
Artemisia capillaris(茵陈),scopoletin,OK,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.17,5280460.0
Artemisia capillaris(茵陈),umbelliferone,OK,C1=CC(=CC2=C1C=CC(=O)O2)O,162.14,5281426.0
Artemisia capillaris(茵陈),capillarisin,OK,COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,316.26,5281342.0
Artemisia capillaris(茵陈),arcapillin,OK,COC1=C(C=C(C(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O)O,360.3,158311.0
Artemisia capillaris(茵陈),capillin,OK,CC#CC#CC(=O)C1=CC=CC=C1,168.19,10321.0
Artemisia capillaris(茵陈),capillene,OK,CC#CC#CCC1=CC=CC=C1,154.21,3083613.0
Artemisia capillaris(茵陈),"1,2-dimethoxy-4-vinylbenzene",OK,COC1=C(C=C(C=C1)C=C)OC,164.20,61400.0
Artemisia capillaris(茵陈),isorhamnetin,OK,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26,5281654.0
Artemisia capillaris(茵陈),methyl capillate,PUBCHEM_NOT_FOUND,,,
Gynostemma pentaphyllum(绞股蓝),ginsenoside Rb1,OK,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C,1109.3,9898279.0
