herb,name,target,affinity,note
Artemisia capillaris(茵陈),scoparone,THRB,-7.064,
Artemisia capillaris(茵陈),scoparone,FASN,-7.47,
Artemisia capillaris(茵陈),scopoletin,THRB,-7.454,
Artemisia capillaris(茵陈),scopoletin,FASN,-7.726,
Artemisia capillaris(茵陈),umbelliferone,THRB,-7.237,
Artemisia capillaris(茵陈),umbelliferone,FASN,-7.639,
Artemisia capillaris(茵陈),capillarisin,THRB,-9.729,
Artemisia capillaris(茵陈),capillarisin,FASN,-8.917,
Artemisia capillaris(茵陈),arcapillin,THRB,-7.149,
Artemisia capillaris(茵陈),arcapillin,FASN,-8.018,
Artemisia capillaris(茵陈),capillin,THRB,-7.198,
Artemisia capillaris(茵陈),capillin,FASN,-8.44,
Artemisia capillaris(茵陈),capillene,THRB,-7.291,
Artemisia capillaris(茵陈),capillene,FASN,-8.405,
Artemisia capillaris(茵陈),"1,2-dimethoxy-4-vinylbenzene",THRB,-6.407,
Artemisia capillaris(茵陈),"1,2-dimethoxy-4-vinylbenzene",FASN,-6.84,
Artemisia capillaris(茵陈),isorhamnetin,THRB,-8.424,
Artemisia capillaris(茵陈),isorhamnetin,FASN,-9.021,
Crataegus pinnatifida(山楂),vitexin,THRB,-6.377,
Crataegus pinnatifida(山楂),vitexin,FASN,-7.898,
Crataegus pinnatifida(山楂),isovitexin,THRB,-8.319,
Crataegus pinnatifida(山楂),isovitexin,FASN,-8.656,
Crataegus pinnatifida(山楂),hyperoside,THRB,-5.906,
Crataegus pinnatifida(山楂),hyperoside,FASN,-7.661,
Crataegus pinnatifida(山楂),isoquercitrin,THRB,-6.234,
Crataegus pinnatifida(山楂),isoquercitrin,FASN,-7.335,
Crataegus pinnatifida(山楂),epicatechin,THRB,-9.458,
Crataegus pinnatifida(山楂),epicatechin,FASN,-8.936,
Crataegus pinnatifida(山楂),procyanidin B2,THRB,-5.69,
Crataegus pinnatifida(山楂),procyanidin B2,FASN,-8.361,
Crataegus pinnatifida(山楂),ursolic acid,THRB,-6.975,
Crataegus pinnatifida(山楂),ursolic acid,FASN,-8.488,
