herb,name,status,smiles,mw_pubchem,cid,mw,logp,hbd,hba,rotb,tpsa,admet_fail,THRB_pIC50,THRB_maxTan_train,THRB_ci95_halfwidth,FASN_pIC50,FASN_maxTan_train,FASN_ci95_halfwidth,SCD1_pIC50,SCD1_maxTan_train,SCD1_ci95_halfwidth,dG_THRB,dG_FASN,evidence,negdG_THRB,negdG_FASN,ad_score,topsis,confidence_tier
Pueraria lobata(葛根),3'-methoxydaidzein,OK,COC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,284.26,5319422.0,284.26699999999994,2.879800000000002,2,5,2,79.9,,7.534,0.227,1.47,5.236,0.321,1.44,4.869,0.225,1.32,-9.639,-9.413,0.66,9.639,9.413,0.25766666666666665,0.745,T2_borderline(边缘)
Polygonum cuspidatum(虎杖),catechin,OK,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27,9064.0,290.271,1.5461000000000014,5,6,1,110.38,,7.883,0.188,1.47,5.328,0.281,1.44,4.725,0.169,1.32,-9.771,-8.596,0.66,9.771,8.596,0.21266666666666667,0.7169,T2_borderline(边缘)
Crataegus pinnatifida(山楂),epicatechin,OK,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27,72276.0,290.271,1.5461000000000014,5,6,1,110.38,,7.883,0.188,1.47,5.328,0.281,1.44,4.725,0.169,1.32,-9.458,-8.936,0.66,9.458,8.936,0.21266666666666667,0.7129,T2_borderline(边缘)
Pueraria lobata(葛根),puerarin,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,416.4,5281807.0,416.38200000000006,0.3861000000000004,6,9,3,160.82,,7.817,0.222,1.47,5.463,0.203,1.44,5.2,0.157,1.32,-6.076,-9.67,0.66,6.076,9.67,0.19400000000000003,0.6514,T2_borderline(边缘)
Artemisia capillaris(茵陈),isorhamnetin,OK,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,316.26,5281654.0,316.265,2.2910000000000013,4,7,2,120.36,,7.053,0.212,1.47,4.97,0.429,1.44,4.796,0.225,1.32,-8.424,-9.021,1.0,8.424,9.021,0.2886666666666667,0.629,T2_borderline(边缘)
Crataegus pinnatifida(山楂),procyanidin B2,OK,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5,122738.0,578.5260000000004,2.995000000000006,10,12,3,220.76,,7.875,0.159,1.47,5.319,0.25,1.44,4.861,0.157,1.32,-5.69,-8.361,0.66,5.69,8.361,0.18866666666666668,0.5968,T2_borderline(边缘)
Crataegus pinnatifida(山楂),isoquercitrin,OK,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,464.4,5484006.0,464.3790000000001,-0.5388999999999997,8,12,5,210.51,,7.344,0.212,1.47,5.317,0.323,1.44,5.08,0.135,1.32,-6.234,-7.335,0.66,6.234,7.335,0.22333333333333336,0.5931,T2_borderline(边缘)
Pueraria lobata(葛根),daidzein,OK,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,254.24,5281708.0,254.241,2.8712000000000018,2,4,1,70.67,,5.926,0.246,1.47,5.547,0.364,1.44,5.182,0.164,1.32,-10.09,-9.621,0.66,10.09,9.621,0.258,0.5673,T2_borderline(边缘)
Crataegus pinnatifida(山楂),hyperoside,OK,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,464.4,5281643.0,464.3790000000001,-0.5388999999999997,8,12,4,210.51,,7.151,0.205,1.47,5.279,0.339,1.44,5.031,0.139,1.32,-5.906,-7.661,0.66,5.906,7.661,0.22766666666666668,0.5574,T2_borderline(边缘)
Artemisia capillaris(茵陈),capillarisin,OK,COC1=C(C2=C(C=C1O)OC(=CC2=O)OC3=CC=C(C=C3)O)O,316.26,5281342.0,316.265,2.710700000000001,3,7,3,109.36,,6.162,0.286,1.47,5.079,0.367,1.44,4.909,0.2,1.32,-9.729,-8.917,1.0,9.729,8.917,0.2843333333333333,0.5542,T2_borderline(边缘)
